FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013116612,AZ,78.2,648.0,0.45,16.6,10.08,4.9,2233.69,5.86,25.2
04013116613,AZ,74.4,957.32,0.59,19.19,12.32,8.2,3836.02,10.79,25.91
04013116702,AZ,77.5,550.51,0.42,21.98,12.41,16.89,6331.73,7.53,33.86
04013116703,AZ,78.2,579.36,0.28,18.16,11.54,17.76,4125.17,5.84,23.3
04013116704,AZ,80.4,966.17,0.7,16.28,11.98,7.87,3096.76,3.3,19.7
04013116707,AZ,81.0,689.28,0.36,19.54,10.89,5.81,5879.82,1.53,17.2
04013116710,AZ,80.9,577.64,0.5,15.6,11.57,1.75,3556.57,0.71,19.0
04013116711,AZ,82.5,449.7,0.44,23.0,14.21,4.67,4996.1,0.0,19.6
04013116713,AZ,81.4,824.83,0.59,27.36,13.13,5.74,6092.71,1.79,18.4
04013116714,AZ,80.0,944.15,0.65,17.37,9.83,4.43,3305.61,6.87,19.0
04013116715,AZ,79.7,679.95,0.48,24.33,10.13,5.62,5050.24,1.43,17.3
04013116718,AZ,80.5,614.23,0.65,27.1,15.83,4.87,6950.94,5.18,20.1
04013116720,AZ,82.3,494.2,0.52,25.25,13.75,7.96,5846.72,2.76,21.1
04013116721,AZ,79.4,729.57,0.65,22.53,11.23,3.26,4121.2,0.0,15.7
04013116725,AZ,81.9,850.63,0.56,17.31,9.29,10.96,3255.03,4.48,16.3
04013116727,AZ,,,0.59,14.04,6.74,0.9,2147.62,1.23,14.4
04013116729,AZ,,594.12,0.58,14.96,7.76,1.8,2540.7,7.91,13.4
04013116730,AZ,81.3,,0.49,5.13,4.33,3.12,1014.66,2.46,15.5
04013116731,AZ,81.4,,0.64,11.85,6.74,6.21,2660.65,1.94,16.7
04013116732,AZ,75.2,191.6,0.54,12.96,12.55,9.27,1528.38,14.59,28.9
04013116733,AZ,,,0.47,1.03,3.17,0.9,2219.55,3.85,14.6
04013116800,AZ,75.2,315.1,0.6,23.62,14.74,14.93,1328.66,4.68,31.0
04013116900,AZ,,265.54,0.6,21.23,14.67,48.02,2166.71,2.72,40.3
04013117000,AZ,79.3,631.13,0.51,24.72,12.65,11.62,9440.44,9.18,31.7
04013117100,AZ,71.6,299.56,0.46,25.88,15.35,14.75,4742.44,3.74,20.2
04013117300,AZ,71.2,427.62,0.54,12.92,12.96,19.46,697.59,10.05,51.2
04013610600,AZ,79.3,,0.48,20.65,7.99,6.6,1757.53,9.9,17.7
04013611300,AZ,79.2,,0.72,7.64,6.41,7.7,343.22,2.8,17.4
04013611400,AZ,79.9,,0.51,15.87,6.7,5.1,2854.23,4.56,16.8
04013611500,AZ,79.8,,0.67,15.9,7.22,2.07,3503.15,3.67,16.1
04013611600,AZ,80.2,,0.62,13.88,8.42,8.7,1682.25,5.6,16.6
04013611700,AZ,,,0.64,16.19,7.8,8.62,2080.27,4.23,17.1
04013611800,AZ,77.3,,0.38,23.87,7.38,7.75,7081.12,8.23,16.6
04013611900,AZ,79.0,,0.61,9.99,5.49,6.25,812.72,7.45,21.1
04013612000,AZ,80.1,,0.76,5.9,7.17,1.67,706.99,4.24,16.6
04013612200,AZ,80.6,,0.66,3.57,5.17,2.63,753.73,5.34,15.7
04013612300,AZ,,738.96,0.51,14.84,8.41,8.09,2132.17,3.81,19.0
04013612400,AZ,,,0.69,10.4,6.32,5.41,1642.65,1.41,15.55
04013612600,AZ,80.5,,0.66,26.96,9.4,2.53,4240.88,0.39,14.1
04013612700,AZ,81.7,,0.6,15.55,7.17,5.09,2442.54,1.65,17.0
04013613300,AZ,,,0.61,11.46,6.2,4.09,490.7,1.68,16.2
04013614300,AZ,80.8,1114.47,0.6,17.27,9.21,2.61,623.4,4.26,18.0
04013614400,AZ,77.1,680.22,0.41,21.26,9.64,13.75,4322.97,5.56,25.3
04013614500,AZ,81.5,852.52,0.47,17.39,10.21,8.35,3239.73,5.73,26.4
